_update_graph,1784643259.5270545
_update_leds,1784643259.5729518
_update_graph,1784643259.573099
_update_leds,1784643259.6169186
_update_graph,1784643259.6170456
_update_leds,1784643259.6649616
_update_graph,1784643259.6651492
_update_leds,1784643259.709104
_update_graph,1784643259.7092233
_update_leds,1784643259.7528646
_update_graph,1784643259.7530344
_update_leds,1784643259.797856
_update_graph,1784643259.7979903
_update_leds,1784643259.8446565
_update_graph,1784643259.8448124
_update_leds,1784643259.8891656
_update_graph,1784643259.8892891
_update_leds,1784643259.933725
_update_graph,1784643259.9338584
_update_leds,1784643259.9794893
_update_graph,1784643259.9796557
_update_leds,1784643260.025386
_update_graph,1784643260.0255182
_update_leds,1784643260.070529
_update_graph,1784643260.0706608
_update_leds,1784643260.115867
_update_graph,1784643260.1160722
_update_leds,1784643260.1602921
_update_graph,1784643260.160458
_update_leds,1784643260.2088232
_update_graph,1784643260.2089837
_update_leds,1784643260.253391
_update_graph,1784643260.2535405
_update_leds,1784643260.2982972
_update_graph,1784643260.298423
_update_leds,1784643260.3446996
_update_graph,1784643260.3448303
_update_leds,1784643260.3886106
_update_graph,1784643260.3887682
_update_leds,1784643260.4343839
_update_graph,1784643260.4345102
_update_leds,1784643260.478528
_update_graph,1784643260.4786773
_update_leds,1784643260.5224543
_update_graph,1784643260.5225847
_update_leds,1784643260.5674398
_update_graph,1784643260.5676076
_update_leds,1784643260.613266
_update_graph,1784643260.6134374
_update_leds,1784643260.6592684
_update_graph,1784643260.659388
_update_leds,1784643260.7040405
_update_graph,1784643260.7041664
_update_leds,1784643260.748774
_update_graph,1784643260.7489557
_update_leds,1784643260.792777
_update_graph,1784643260.7929325
_update_leds,1784643260.8366542
_update_graph,1784643260.8367786
_update_leds,1784643260.8812125
_update_graph,1784643260.881352
_update_leds,1784643260.9270236
_update_graph,1784643260.9271712
_update_leds,1784643260.9724014
_update_graph,1784643260.9725282
_update_leds,1784643261.0168436
_update_graph,1784643261.0170078
_update_leds,1784643261.0610743
_update_graph,1784643261.0612051
_update_leds,1784643261.106183
_update_graph,1784643261.1063182
_update_leds,1784643261.1506286
_update_graph,1784643261.1507838
_update_leds,1784643261.1950717
_update_graph,1784643261.1952112
_update_leds,1784643261.2414863
_update_graph,1784643261.2416215
_update_leds,1784643261.2856214
_update_graph,1784643261.2857528
_update_leds,1784643261.3297977
_update_graph,1784643261.3299608
_update_leds,1784643261.3748755
_update_graph,1784643261.3750517
_update_leds,1784643261.4214697
_update_graph,1784643261.4216006
_update_leds,1784643261.4652557
_update_graph,1784643261.465424
